slug,name_en,name_ja,best_source,best_source_url,best_score,override_image_url
adipocere-necrophilia,"ADIPOCERE NECROPHILIA","",,,,
amidagaran,"AMIDAGARAN","",,,,
b,"B・佐藤慎之介","",,,,
blondnewhalf,"BLONDnewHALF","",,,,
bogulta,"BOGULTA","",spotify,https://open.spotify.com/artist/03d8apfHOy2uV3oLL9lsFG,0.6714,
bonnounomukuro,"Bonnounomukuro + マリヲ","",,,,
burningsign,"BURNINGSIGN","",deezer,https://www.deezer.com/artist/1323750,0.6967,
cpout-foreignf,"c.pout + foreign.f","",,,,
deathgrave-black-ganion-japan,"DEATHGRAVE / BLACK GANION Japan","",,,,
dirtyisgod,"dirtyisgod","",deezer,https://www.deezer.com/artist/250322422,0.6333,
dmbqlostage,"DMBQとLOSTAGE","",,,,
dobermanking-brothers,"DOBERMANとKING BROTHERS","",,,,
doronuma-strangers,"DORONUMA STRANGERS","",,,,
dr,"Dr・伊藤哲平","",,,,
ferocious-x-disturd,"Ferocious X/ Disturd","",,,,
guest-djce,"Guest DJ:CE$","",,,,
guest-djmorley,"Guest DJ:MORLEY","",,,,
key,"Key・斎藤渉","",itunes,https://music.apple.com/jp/album/new-chapter-ep/1774930388?uo=4,0.4250,
lilysash-2,"LilyS/ash 大阪単独公演","",,,,
linekraft-daisuke-maekawa,"LINEKRAFT + Daisuke Maekawa","",,,,
mach-pelican-aus-japan,"MACH PELICAN (AUS) JAPAN","",itunes,https://music.apple.com/jp/album/mach-pelican/1513839400?uo=4,0.4250,
maher-shalal-hash-baz-one-man,"Maher Shalal Hash Baz -ONE MAN","",,,,
merry-ghosts,"Merry Ghosts","",,,,
milky-lylei,"Milky Lylei","",,,,
mulasaki-ima-one-man,"MULASAKI IMA ONE MAN","",,,,
pegau,"PEGA$U$","",deezer,https://www.deezer.com/artist/101471,0.5429,
penis-boys,"Penis boys","",,,,
pika,"PIKA☆×梶原徹也×中村達也","",,,,
schizophragm,"schizophragm","",,,,
seiichi-yamamoto-and-arimasalli,"Seiichi Yamamoto and ARimasaLLi","",,,,
spdill,"SPDILL","",,,,
stand-atlantic-japan,"Stand Atlantic Japan","",itunes,https://music.apple.com/jp/album/makedamnsure-single/1459547275?uo=4,0.4250,
swinging-popsicle-30,"Swinging Popsicle 結成30周年記念ワンマン","",,,,
teppohseen,"tepPohseen","",spotify,https://open.spotify.com/artist/6zDkKkevCSbvdZhIOsRPY6,0.5600,
the-eee,"THE EEE","",discogs,https://www.discogs.com/artist/559249,0.5650,
the-nothingface-from-colombia,"THE NOTHINGFACE FROM COLOMBIA","",,,,
yaminabe-6,"YAMINABE 6周年特別価格","",,,,
yoonsungjapan,"Yoonsung(韓国)JAPAN","",,,,
you-kiyo-shuji,"you kiyo shuji","",,,,
artist-352997cf,"アウトドアホームレス","",,,,
artist-ccb11354,"クジ半太郎","",,,,
artist-fbea0ee7,"グラインド・オーケストラ","",,,,
artist-9f078b90,"クリトリック・リス","",itunes,https://music.apple.com/jp/album/anatanoana/1442441626?uo=4,0.5000,
artist-e320dbce,"シン・ドロップノット","",,,,
artist-fb05d081,"ソープ嬢変死","",,,,
artist-ad6aa5c7,"ネオ上等","",,,,
artist-067f1720,"バビロンブレイカーズ","",,,,
artist-a46edf1e,"バンパイヤ","",,,,
artist-afd147e3,"ビタースウィートベイビー","",,,,
artist-1cb9a528,"ブッダマスクレプリカ","",,,,
artist-d19b5548,"ミニ遊園地宇宙広場オーケストラ","",,,,
artist-c3e4e135,"ミラーレイクス","",,,,
artist-a766727e,"メタミュラー・グヌピコ","",,,,
artist-bf61249f,"ワービー＆サービー","",,,,
memorandum-band,"ワカマツヨウジン+memorandum band","",,,,
artist-3b4fc837,"ワッツーシゾンビ","",itunes,https://music.apple.com/jp/album/w-z/595918619?uo=4,0.5000,
with-2,"三上寛with山本精一","",,,,
artist-c162149d,"中野博教","",,,,
fortuness,"二刀流系アイドルFortuness 東名阪","",,,,
artist-1dd29b90,"佐伯誠之助","",,,,
dj,"内義人÷DJ方","",,,,
artist-c769e600,"出演：オクノ修、豊田道倫","",,,,
artist-037249b5,"吉川豊人","",,,,
atr,"吉田ヤスシ+ATR","",,,,
with,"山本精一with ハイパープレイグラウンド","",,,,
artist-1540fdab,"松田 宗志郎","",,,,
artist-fb89b4d1,"染谷藍","",,,,
my-darkest-friends,"核に匹敵する MY DARKEST FRIENDS","",,,,
artist-2ac39bf3,"池永正ニ","",itunes,https://music.apple.com/jp/album/%E6%98%A0%E7%94%BB-%E3%82%BC%E3%83%B3%E3%83%96-%E3%82%AA%E3%83%96-%E3%83%88%E3%83%BC%E3%82%AD%E3%83%A7%E3%83%BC-%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF/1775122442?uo=4,0.3000,
artist-ab256664,"沢口かなみ","",,,,
artist-779c91f3,"津とショーキー","",,,,
artist-09b7e466,"秋井仁","",,,,
artist-b8f23c55,"鍼灸キンメ","",,,,
the-micro-head-4ns-last,"開催延期】THE MICRO HEAD 4N’S LAST","",,,,
artist-f65cd22e,"青泰憲+山下昂之","",,,,
artist-11848b66,"頭士奈生樹","",,,,
